"기관명","소계","2013년도 이전","2014년","2015년","2016년"
"강남구","2780","1292","430","584","932"
"강동구","773","379","99","155","377"
"강북구","748","369","120","138","204"
"강서구","884","388","258","184","81"
"관악구","1496","846","260","390","613"
"광진구","707","573","78","53","174"
"구로구","1561","1142","173","246","323"
"금천구","1015","674","51","269","354"
"노원구","1265","542","57","451","516"
"도봉구","485","238","159","42","386"
"동대문구","1294","1070","23","198","579"
"동작구","1091","544","341","103","314"
"마포구","574","314","118","169","379"
"서대문구","962","844","50","68","292"
"서초구","1930","1406","157","336","398"
"성동구","1062","730","91","241","265"
"성북구","1464","1009","78","360","204"
"송파구","618","529","21","68","463"
"양천구","2034","1843","142","30","467"
"영등포구","904","495","214","195","373"
"용산구","1624","1368","218","112","398"
"은평구","1873","1138","224","278","468"
"종로구","1002","464","314","211","630"
"중구","671","413","190","72","348"
"중랑구","660","509","121","177","109"
