,ahn,hong,moon,pop,광역시도,시군
0,22313.0,22325.0,42512.0,102566.0,서울특별시,종로구
1,19372.0,17901.0,34062.0,82852.0,서울특별시,중구
2,32109.0,35230.0,58081.0,148157.0,서울특별시,용산구
3,45674.0,40566.0,86686.0,203175.0,서울특별시,성동구
4,52824.0,46368.0,105512.0,240030.0,서울특별시,광진구
5,53359.0,51631.0,98958.0,236092.0,서울특별시,동대문구
6,62778.0,56545.0,111450.0,265706.0,서울특별시,중랑구
7,66518.0,57584.0,129263.0,295866.0,서울특별시,성북구
8,51669.0,42268.0,89645.0,210614.0,서울특별시,강북구
9,55600.0,47461.0,94898.0,229233.0,서울특별시,도봉구
10,96325.0,67590.0,158167.0,374213.0,서울특별시,노원구
11,72582.0,60109.0,140180.0,317275.0,서울특별시,은평구
12,46237.0,40513.0,93768.0,212076.0,서울특별시,서대문구
13,52545.0,46547.0,117336.0,256992.0,서울특별시,마포구
14,71816.0,60814.0,133853.0,310886.0,서울특별시,양천구
15,88128.0,76601.0,175882.0,397108.0,서울특별시,강서구
16,61734.0,59194.0,121077.0,278805.0,서울특별시,구로구
17,36695.0,31106.0,67423.0,155010.0,서울특별시,금천구
18,53994.0,53615.0,105834.0,248833.0,서울특별시,영등포구
19,60305.0,54431.0,121722.0,276685.0,서울특별시,동작구
20,79495.0,59914.0,159854.0,351240.0,서울특별시,관악구
21,63977.0,74891.0,106416.0,292916.0,서울특별시,서초구
22,80201.0,97639.0,128927.0,365642.0,서울특별시,강남구
23,99018.0,98549.0,177328.0,441198.0,서울특별시,송파구
24,67499.0,65893.0,122511.0,297476.0,서울특별시,강동구
25,4675.0,10684.0,9918.0,28604.0,부산광역시,중구
26,11868.0,26360.0,24522.0,71446.0,부산광역시,서구
27,9815.0,22188.0,19606.0,58304.0,부산광역시,동구
28,13082.0,25345.0,30094.0,78013.0,부산광역시,영도구
29,40636.0,79545.0,95042.0,246124.0,부산광역시,부산진구
30,30208.0,59616.0,67947.0,181098.0,부산광역시,동래구
31,30943.0,59137.0,68566.0,181922.0,부산광역시,남구
32,32712.0,61175.0,83611.0,203689.0,부산광역시,북구
33,48325.0,80904.0,102106.0,266870.0,부산광역시,해운대구
34,15909.0,26556.0,39412.0,94393.0,부산광역시,기장군
35,36713.0,65252.0,82452.0,211876.0,부산광역시,사하구
